path	level	type	required	default	constraints	authoring	runtime	obs_debug_gov
$import	top-level	union<array|string>	conditional			Y	N	N
$import[*]	nested	string	n/a			Y	N	N
_templates	top-level	object	optional			Y	N	N
_templates.retry	nested	object	optional			Y	N	N
_templates.retry.<template_id>	nested	object	n/a			Y	N	N
_templates.retry.<template_id>.$import	nested	union<array|string>	optional			Y	N	N
_templates.retry.<template_id>.$import[*]	nested	string	n/a			Y	N	N
_templates.retry.<template_id>.backoff	nested	enum<string>	optional	"exponential"	enum=fixed,exponential	Y	N	N
_templates.retry.<template_id>.base_delay_seconds	nested	unknown	optional	0.2	minimum=0.0	Y	N	N
_templates.retry.<template_id>.enabled	nested	boolean	optional	false		Y	N	N
_templates.retry.<template_id>.jitter	nested	boolean	optional	true		Y	N	N
_templates.retry.<template_id>.max_attempts	nested	integer	optional	3	minimum=1;maximum=5	Y	N	N
_templates.retry.<template_id>.max_delay_seconds	nested	unknown	optional	2.0	minimum=0.0;maximum=5.0	Y	N	N
_templates.retry.<template_id>.max_elapsed_seconds	nested	unknown	optional	10.0	minimum=1e-06;maximum=20.0	Y	N	N
_templates.retry.<template_id>.should_retry	nested	string	optional		minLength=1	Y	N	N
audit	top-level	union<boolean|object>	optional			N	N	Y
audit.$import	nested	union<array|string>	optional			N	N	Y
audit.$import[*]	nested	string	n/a			N	N	Y
audit.allow_formulas	nested	boolean	optional			N	N	Y
audit.path	nested	string	optional			N	N	Y
audit.sheet	nested	string	optional		minLength=1	N	N	Y
audit.write_lock	nested	boolean	optional			N	N	Y
batch_size	top-level	nullable<integer>	optional	1000		N	Y	N
description	top-level	string	optional			Y	N	N
failure_policy	top-level	enum<string>	optional	"all_fail"	enum=all_fail,primary_only	N	Y	N
fields	top-level	object	optional			Y	N	N
fields.<field_id>	nested	object	n/a			Y	N	N
fields.<field_id>.$import	nested	union<array|string>	optional			Y	N	N
fields.<field_id>.$import[*]	nested	string	n/a			Y	N	N
fields.<field_id>.call_by	nested	string	optional			Y	N	N
fields.<field_id>.compute	nested	string	optional			Y	N	N
fields.<field_id>.extract	nested	string	optional		minLength=1	Y	N	N
fields.<field_id>.name	nested	string	optional			Y	N	N
fields.<field_id>.relation	nested	union<object|string>	optional			Y	N	N
fields.<field_id>.relation.steps	nested	array	required		minItems=1	Y	N	N
fields.<field_id>.relation.steps[*]	nested	object	n/a		additionalProperties=false	Y	N	N
fields.<field_id>.relation.steps[*].from	nested	union<array|string>	required			Y	N	N
fields.<field_id>.relation.steps[*].from[*]	nested	string	n/a		pattern=^[a-zA-Z_][a-zA-Z0-9_]*\.[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
fields.<field_id>.relation.steps[*].lookup_cast	nested	object	optional		additionalProperties=false	Y	N	N
fields.<field_id>.relation.steps[*].lookup_cast.name	nested	enum<string>	required		enum=auto,int,str,sep_first	Y	N	N
fields.<field_id>.relation.steps[*].lookup_cast.sep	nested	string	optional			Y	N	N
fields.<field_id>.relation.steps[*].to	nested	union<array|string>	required			Y	N	N
fields.<field_id>.relation.steps[*].to[*]	nested	string	n/a		pattern=^[a-zA-Z_][a-zA-Z0-9_]*\.[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
fields.<field_id>.source	nested	string	optional		pattern=^[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
fields.<field_id>.value_cast	nested	enum<string>	optional		enum=auto,int,str,decimal	Y	N	N
guardrails	top-level	object	optional			N	Y	Y
guardrails.$import	nested	union<array|string>	optional			N	Y	Y
guardrails.$import[*]	nested	string	n/a			N	Y	Y
guardrails.compute	nested	object	optional			N	Y	Y
guardrails.compute.$import	nested	union<array|string>	optional			N	Y	Y
guardrails.compute.$import[*]	nested	string	n/a			N	Y	Y
guardrails.compute.on_error	nested	enum<string>	optional		enum=quiet,fast_fail	N	Y	Y
guardrails.enabled	nested	boolean	optional	false		N	Y	Y
guardrails.loader	nested	object	optional			N	Y	Y
guardrails.loader.$import	nested	union<array|string>	optional			N	Y	Y
guardrails.loader.$import[*]	nested	string	n/a			N	Y	Y
guardrails.loader.on_transform_error	nested	enum<string>	optional		enum=quiet,fast_fail	N	Y	Y
guardrails.loader.required_fields	nested	array	optional			N	Y	Y
guardrails.loader.required_fields[*]	nested	union<object|string>	n/a			N	Y	Y
guardrails.loader.validate_result	nested	boolean	optional	false		N	Y	Y
guardrails.mode	nested	enum<string>	optional	"fast_fail"	enum=quiet,fast_fail	N	Y	Y
guardrails.relations	nested	object	optional			N	Y	Y
guardrails.relations.$import	nested	union<array|string>	optional			N	Y	Y
guardrails.relations.$import[*]	nested	string	n/a			N	Y	Y
guardrails.relations.null_key_max_rate	nested	unknown	optional		minimum=0.0;maximum=1.0	N	Y	Y
guardrails.relations.type_error_max_rate	nested	unknown	optional		minimum=0.0;maximum=1.0	N	Y	Y
imports	top-level	object	optional			Y	N	N
imports.<alias>	nested	string	n/a		pattern=^((\./|\.\./)*([^/\\:]+/)*[^/\\:]+\.ya?ml|@/([^/\\:]+/)*[^/\\:]+\.ya?ml|[a-zA-Z_][a-zA-Z0-9_]*:/([^/\\:]+/)*[^/\\:]+\.ya?ml|scalim://[^\\s\\\\]+\.ya?ml)$	Y	N	N
include_full_error_message	top-level	boolean	optional	false		N	Y	Y
main_source	top-level	object	conditional			Y	N	N
main_source.$import	nested	union<array|string>	conditional			Y	N	N
main_source.$import[*]	nested	string	n/a			Y	N	N
main_source.fields	nested	object	optional		minProperties=0	Y	N	N
main_source.fields.$import	nested	union<array|string>	optional			Y	N	N
main_source.fields.$import[*]	nested	string	n/a			Y	N	N
main_source.fields.<field_id>	nested	object	n/a			Y	N	N
main_source.fields.<field_id>.$import	nested	union<array|string>	optional			Y	N	N
main_source.fields.<field_id>.$import[*]	nested	string	n/a			Y	N	N
main_source.fields.<field_id>.extract	nested	string	optional		minLength=1	Y	N	N
main_source.fields.<field_id>.name	nested	string	optional			Y	N	N
main_source.fields.<field_id>.relation	nested	union<object|string>	optional			Y	N	N
main_source.fields.<field_id>.relation.steps	nested	array	required		minItems=1	Y	N	N
main_source.fields.<field_id>.relation.steps[*]	nested	object	n/a		additionalProperties=false	Y	N	N
main_source.fields.<field_id>.relation.steps[*].from	nested	union<array|string>	required			Y	N	N
main_source.fields.<field_id>.relation.steps[*].from[*]	nested	string	n/a		pattern=^[a-zA-Z_][a-zA-Z0-9_]*\.[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
main_source.fields.<field_id>.relation.steps[*].lookup_cast	nested	object	optional		additionalProperties=false	Y	N	N
main_source.fields.<field_id>.relation.steps[*].lookup_cast.name	nested	enum<string>	required		enum=auto,int,str,sep_first	Y	N	N
main_source.fields.<field_id>.relation.steps[*].lookup_cast.sep	nested	string	optional			Y	N	N
main_source.fields.<field_id>.relation.steps[*].to	nested	union<array|string>	required			Y	N	N
main_source.fields.<field_id>.relation.steps[*].to[*]	nested	string	n/a		pattern=^[a-zA-Z_][a-zA-Z0-9_]*\.[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
main_source.fields.<field_id>.source	nested	string	optional		pattern=^[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
main_source.fields.<field_id>.value_cast	nested	enum<string>	optional		enum=auto,int,str,decimal	Y	N	N
main_source.loader	nested	string	conditional		minLength=1	Y	N	N
main_source.order_by	nested	array	optional			Y	N	N
main_source.order_by[*]	nested	string	n/a			Y	N	N
main_source.params	nested	object	optional			Y	N	N
