path	level	type	required	default	constraints	authoring	runtime	obs_debug_gov
workflow	top-level	object	required		additionalProperties=false	Y	N	N
workflow.options	nested	object	optional		additionalProperties=false	Y	Y	N
workflow.options.cache_pool	nested	nullable<object>	optional	null		Y	Y	N
workflow.options.cache_pool.budget	nested	object	required		additionalProperties=false	Y	Y	N
workflow.options.cache_pool.budget.max_entries	nested	integer	required		minimum=1	Y	Y	N
workflow.options.cache_pool.budget.over_budget_policy	nested	enum<string>	required		enum=fail_fast,evict_lru	Y	Y	N
workflow.options.cache_pool.conflict_policy	nested	enum<string>	required		enum=error,separate,warn	Y	Y	N
workflow.options.cache_pool.pin	nested	array	optional	[]		Y	Y	N
workflow.options.cache_pool.pin[*]	nested	object	n/a		additionalProperties=false	Y	Y	N
workflow.options.cache_pool.pin[*].kind	nested	enum<string>	required		enum=preload_forever	Y	Y	N
workflow.options.cache_pool.pin[*].source_id	nested	string	required		minLength=1	Y	Y	N
workflow.options.cache_pool.release_policy	nested	enum<string>	required		enum=dag_refcount,workflow_end	Y	Y	N
workflow.options.ctx	nested	nullable<object>	optional	null		Y	Y	N
workflow.options.ctx.max_bytes	nested	integer	optional	1048576	minimum=1	Y	Y	N
workflow.options.ctx.max_value_bytes	nested	integer	optional	65536	minimum=1	Y	Y	N
workflow.options.failure_policy	nested	enum<string>	optional	"all_fail"	enum=all_fail,primary_only	Y	Y	N
workflow.options.max_concurrency	nested	integer	optional	1	minimum=1	Y	Y	N
workflow.options.output_staging	nested	nullable<object>	optional	null		Y	Y	Y
workflow.options.output_staging.dir_name	nested	string	optional	".scalim-staging"	minLength=1;pattern=^[^/\\]+$	Y	Y	Y
workflow.options.output_staging.keep_on_failure	nested	boolean	optional	true		Y	Y	Y
workflow.options.output_staging.keep_on_success	nested	boolean	optional	false		Y	Y	Y
workflow.options.resources_wait	nested	nullable<object>	optional	null		Y	Y	Y
workflow.options.resources_wait.diagnostics	nested	nullable<object>	optional	null		Y	Y	Y
workflow.options.resources_wait.diagnostics.capture_owner_callsite	nested	boolean	optional	false		Y	Y	Y
workflow.options.resources_wait.diagnostics.enabled	nested	boolean	optional	false		Y	Y	Y
workflow.options.resources_wait.diagnostics.repeat_every_s	nested	nullable<number>	optional	null		Y	Y	Y
workflow.options.resources_wait.diagnostics.warn_after_s	nested	number	optional	30	minimum=0	Y	Y	Y
workflow.options.resources_wait.max_wait_s	nested	number	optional	600	exclusiveMinimum=0	Y	Y	Y
workflow.resources	nested	object	optional	{}		Y	N	N
workflow.resources.$import	nested	union<array|string>	optional			Y	N	N
workflow.resources.$import[*]	nested	string	n/a			Y	N	N
workflow.resources.books	nested	object	optional		minProperties=0	Y	N	N
workflow.resources.books.$import	nested	union<array|string>	optional			Y	N	N
workflow.resources.books.$import[*]	nested	string	n/a			Y	N	N
workflow.resources.books.<book_id>	nested	object	n/a			Y	N	N
workflow.resources.books.<book_id>.$import	nested	union<array|string>	conditional			Y	N	N
workflow.resources.books.<book_id>.$import[*]	nested	string	n/a			Y	N	N
workflow.resources.books.<book_id>.allow_formulas	nested	unknown	optional			Y	N	N
workflow.resources.books.<book_id>.budget	nested	unknown	optional			Y	Y	N
workflow.resources.books.<book_id>.budget.$import	nested	union<array|string>	conditional			Y	Y	N
workflow.resources.books.<book_id>.budget.$import[*]	nested	string	n/a			Y	Y	N
workflow.resources.books.<book_id>.budget.max_sheets	nested	integer	conditional		minimum=1	Y	Y	N
workflow.resources.books.<book_id>.budget.max_total_cells	nested	integer	conditional		minimum=1	Y	Y	N
workflow.resources.books.<book_id>.export_xlsx	nested	unknown	optional			Y	Y	N
workflow.resources.books.<book_id>.export_xlsx.$import	nested	union<array|string>	conditional			Y	Y	N
workflow.resources.books.<book_id>.export_xlsx.$import[*]	nested	string	n/a			Y	Y	N
workflow.resources.books.<book_id>.export_xlsx.allow_formulas	nested	boolean	optional	false		Y	Y	N
workflow.resources.books.<book_id>.export_xlsx.path	nested	union<object|string>	conditional			Y	Y	N
workflow.resources.books.<book_id>.export_xlsx.path.$init_var	nested	string	required		minLength=1	Y	Y	N
workflow.resources.books.<book_id>.export_xlsx.write_lock	nested	boolean	optional	false		Y	Y	N
workflow.resources.books.<book_id>.kind	nested	unknown	optional			Y	N	N
workflow.resources.books.<book_id>.path	nested	unknown	optional			Y	Y	N
workflow.resources.books.<book_id>.path.$init_var	nested	string	required		minLength=1	Y	Y	N
workflow.resources.books.<book_id>.write_defaults	nested	object	optional			Y	Y	N
workflow.resources.books.<book_id>.write_defaults.$import	nested	union<array|string>	optional			Y	Y	N
workflow.resources.books.<book_id>.write_defaults.$import[*]	nested	string	n/a			Y	Y	N
workflow.resources.books.<book_id>.write_defaults.align_by	nested	enum<string>	optional	"field_id"	enum=field_id,header	Y	Y	N
workflow.resources.books.<book_id>.write_defaults.header_policy	nested	enum<string>	optional	"once"	enum=once,always,never	Y	Y	N
workflow.resources.books.<book_id>.write_defaults.mode	nested	enum<string>	optional	"append"	enum=sheet,append	Y	Y	N
workflow.resources.books.<book_id>.write_defaults.on_conflict	nested	enum<string>	optional	"error"	enum=error,overwrite,skip	Y	Y	N
workflow.resources.books.<book_id>.write_defaults.on_mismatch	nested	enum<string>	optional	"error"	enum=error,warn,skip	Y	Y	N
workflow.resources.books.<book_id>.write_lock	nested	unknown	optional			Y	N	N
workflow.resources.files	nested	object	optional		minProperties=0	Y	N	N
workflow.resources.files.$import	nested	union<array|string>	optional			Y	N	N
workflow.resources.files.$import[*]	nested	string	n/a			Y	N	N
workflow.resources.files.<file_id>	nested	object	n/a			Y	N	N
workflow.resources.files.<file_id>.$import	nested	union<array|string>	conditional			Y	N	N
workflow.resources.files.<file_id>.$import[*]	nested	string	n/a			Y	N	N
workflow.resources.files.<file_id>.encoding	nested	string	optional	"utf-8"		Y	N	N
workflow.resources.files.<file_id>.kind	nested	enum<string>	conditional		enum=csv_file	Y	N	N
workflow.resources.files.<file_id>.path	nested	union<object|string>	conditional			Y	Y	N
workflow.resources.files.<file_id>.path.$init_var	nested	string	required		minLength=1	Y	Y	N
workflow.runs	nested	array	required		minItems=1	Y	N	N
workflow.runs[*]	nested	object	n/a		additionalProperties=false	Y	N	N
workflow.runs[*].demand	nested	string	required		minLength=1	Y	N	N
workflow.runs[*].depends_on	nested	array	optional	[]		Y	N	N
workflow.runs[*].depends_on[*]	nested	string	n/a		minLength=1	Y	N	N
workflow.runs[*].id	nested	string	required		minLength=1	Y	N	N
