region_id,institution_id,mapping_name,status
1,1,mapping_1_1,active
1,2,mapping_1_2,active
2,1,mapping_2_1,active
2,2,mapping_2_2,inactive
3,1,mapping_3_1,active
3,2,mapping_3_2,active
4,1,mapping_4_1,inactive
4,2,mapping_4_2,active
5,1,mapping_5_1,active
5,2,mapping_5_2,active
6,1,mapping_6_1,active
6,2,mapping_6_2,inactive
7,1,mapping_7_1,active
7,2,mapping_7_2,active
8,1,mapping_8_1,active
8,2,mapping_8_2,active
9,1,mapping_9_1,inactive
9,2,mapping_9_2,active
10,1,mapping_10_1,active
10,2,mapping_10_2,active
