order_id,amount,cost,order_source,customer_id,pay_id,item_id,region_id,institution_id,order_type_id,small_group_ids
0,0,0,0,200,300,400,1,1,0,"10,20"
1,100,50,1,201,301,401,1,2,1,20
2,200,100,2,202,302,402,2,1,2,"30,10"
3,300,150,0,203,303,403,2,2,3,40
4,400,200,1,204,304,404,3,1,4,"50,20,30"
5,500,250,2,205,305,405,3,2,0,10
6,600,300,0,206,306,406,4,1,1,"20,30"
7,700,350,1,207,307,407,4,2,2,30
8,800,400,2,208,308,408,5,1,3,"40,50"
9,900,450,0,209,309,409,5,2,4,50
10,1000,500,1,210,310,410,6,1,0,"10,40"
11,1100,550,2,211,311,411,6,2,1,20
12,1200,600,0,212,312,412,7,1,2,"30,50"
13,1300,650,1,213,313,413,7,2,3,40
14,1400,700,2,214,314,414,8,1,4,"50,10"
15,1500,750,0,215,315,415,8,2,0,10
16,1600,800,1,216,316,416,9,1,1,"20,40"
17,1700,850,2,217,317,417,9,2,2,30
18,1800,900,0,218,318,418,10,1,3,"40,10"
19,1900,950,1,219,319,419,10,2,4,50
